Pattern,InferNe,CX,Diff,Note
imdn_float,5.08,5.58,9.9%,
dped_float,30.79,33.4,8.5%,
microisp_int16,6.6,7.11,7.7%,
esrgan__int16,2.86,3.05,6.8%,
gpt2_quant.cut,1.37,1.44,5.2%,
midas_v3_float,1.47,1.54,5.0%,
yolo_v8_float,2.07,2.16,4.2%,
pynet_v2_float,13.88,14.38,3.6%,
vsr_float,2.29,2.37,3.6%,
srgan_quant,3.29,3.4,3.1%,
dped_quant,22.77,23.27,2.2%,
mv3_depth_quant,0.59,0.6,1.9%,
microisp_float,8.24,8.39,1.9%,
mv3_depth_float,1.56,1.59,1.9%,
inception_v3_float,1.54,1.56,1.3%,
mobilevit_v2_float,2.15,2.16,0.7%,
xlsr_float,1.14,1.14,-0.5%,
vit_b16_quant,4.86,4.83,-0.6%,
efficientnet_b4_float,2.18,2.16,-0.7%,
pynet_v2_quant,9.27,9.2,-0.7%,
midas_v3_quant,0.67,0.66,-0.8%,
dped_int16,5.47,5.42,-0.8%,
swin_float,1.7,1.68,-1.4%,
xlsr_quant,0.34,0.33,-1.8%,
microisp_quant,5.52,5.42,-1.8%,
deeplab_v3_plus_quant,1.89,1.86,-1.9%,
mobilenet_v3_float,0.62,0.61,-2.0%,
yolo_v8_quant,0.61,0.6,-2.3%,
esrgan_quant,0.99,0.97,-2.3%,
srgan_float,9.57,9.31,-2.7%,
unet_quant,1.89,1.84,-2.9%,
inception_v3_quant,0.64,0.62,-3.3%,
imdn_quant,2.54,2.46,-3.4%,
llama2_quant.cut,0.74,0.71,-4.0%,
efficientnet_b4_quant,1.0,0.96,-4.3%,
unet_float,5.04,4.81,-4.6%,
esrgan_float,2.33,2.22,-4.8%,
deeplab_v3_plus_float,5.15,4.87,-5.5%,
mobilebert_quant.cut,1.28,1.2,-6.6%,
mobilenet_v3_b4_float,2.3,2.13,-7.2%,
sd_decoder_quant,7.06,6.53,-7.5%,
sam_float.cut,3.78,3.49,-7.8%,
unet_int16,3.71,3.39,-8.7%,
mobilenet_v3_b4_quant,0.84,0.77,-8.8%,
mobilenet_v3_quant,0.27,0.25,-8.9%,
vsr_quant,0.86,0.77,-9.7%,
sd_diffusion_quant,1.8,1.61,-10.1%,
sd_encoder_quant,3.59,3.22,-10.3%,
swin_quant,1.12,1.0,-10.7%,
sam_quant.cut,2.3,2.03,-11.7%,
resnet_quant,0.04,0.02,-33.6% Small Pattern,
resnet_float,0.04,0.02,-37.2% Small Pattern,
mobilevit_v2_quant,1.17,0.0,-100.0% Hang (POOL),
